time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-10 00:00:00+00:00,6,5,5,4
2025-10-11 00:00:00+00:00,1,1,1,1
2025-10-12 00:00:00+00:00,1,1,3,3
2025-10-13 00:00:00+00:00,2,2,4,2
2025-10-14 00:00:00+00:00,9,4,9,4
2025-10-15 00:00:00+00:00,16,5,1,1
2025-10-16 00:00:00+00:00,9,3,6,4
2025-10-17 00:00:00+00:00,7,2,3,2
2025-10-18 00:00:00+00:00,2,2,1,1
2025-10-19 00:00:00+00:00,8,3,1,1
2025-10-20 00:00:00+00:00,1,1,2,2
2025-10-21 00:00:00+00:00,9,4,2,2
2025-10-22 00:00:00+00:00,14,4,3,3
2025-10-23 00:00:00+00:00,6,1,10,6
